Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
Motion Recruitment,NY,LinkedIn,Part-time,Any Degree,7,,100000.0,Data Analyst
"Target Labs, Inc",NY,Company Website,Full-time,Any Degree,5.0,,100000.0,Data Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
ITE MGMT,NY,ZipRecruiter,Full-time,Any Degree,5,"Python, SQL, Tableau, AWS, GCP, Azure, Cloud, Data Analytics, Analytics, Business Intelligence, Power BI",185000.0,Business Intelligence Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
New York Blood Center Inc,NY,Glassdoor,Full-time,Any Degree,5.0,,91520.0,Business Analyst
Suncap Technology,NY,ZipRecruiter,Part-time,Bachelors,4,Excel,100000.0,Data Analyst
TikTok,NY,LinkedIn,Full-time,Any Degree,5.0,"Tableau, Data Visualization, Visualization",195000.0,Data Scientist
Flex,NY,ZipRecruiter,Full-time,Any Degree,6,"SQL, Tableau, Analytics, ETL, Business Intelligence",186000.0,Data Analyst
"Global Channel Management, Inc.",NY,LinkedIn,Full-time,Bachelors,5.0,"Python, SQL, Excel",100000.0,Data Analyst
UX Hires,NY,LinkedIn,Full-time,Any Degree,8,"Data Analytics, Analytics",150000.0,Data Analyst
Guggenheim Investments,NY,ZipRecruiter,Full-time,Any Degree,3,,95000.0,Data Analyst
"Haavia, Inc.",NY,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Snowflake, Power BI, Data Visualization, Visualization",100000.0,Data Analyst
Mercy College,NY,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Excel",100000.0,Data Analyst
IPG Mediabrands,NY,ZipRecruiter,Full-time,Any Degree,5.0,"Tableau, Excel",85000.0,Data Analyst
Amazon Web Services (AWS),NY,LinkedIn,Full-time,Any Degree,3,"Python, SQL",212800.0,Data Scientist
Centraprise,NY,ZipRecruiter,Full-time,Any Degree,5.0,Java,100000.0,Data Analyst
Wilson Elser,NY,LinkedIn,Full-time,Bachelors,3,Excel,85000.0,Data Analyst
NYC Health Hospitals,NY,ZipRecruiter,Full-time,Bachelors,7,"SQL, Excel",100000.0,Data Analyst
Korn Ferry,NY,LinkedIn,Full-time,Any Degree,5,"Python, SQL, Tableau, Data Analytics, Analytics, Business Intelligence, Power BI",100000.0,Data Analyst
Meta,NY,ZipRecruiter,Full-time,PHD,2,"SQL, Big Data, Analytics",213000.0,Data Analyst
Madwell,NY,ZipRecruiter,Full-time,Any Degree,8,"Tableau, Data Visualization, Visualization",100000.0,Data Analyst
EXL Service,NY,ZipRecruiter,Full-time,Bachelors,5,Analytics,140000.0,Data Analyst
Integral Ad Science,NY,LinkedIn,Full-time,Any Degree,8,"Hive, Spark, AWS, GCP, Cloud",231600.0,Data Scientist
"Citigroup, Inc.",NY,ZipRecruiter,Full-time,Any Degree,5.0,,265080.0,Data Analyst
Intuit,NY,ZipRecruiter,Full-time,Any Degree,2,Python,100000.0,Data Analyst
US IT Solutions Inc,NY,ZipRecruiter,Part-time,Any Degree,5.0,"SQL, Java, ETL",100000.0,Data Analyst
Futran Tech Solutions Pvt. Ltd.,NY,ZipRecruiter,Full-time,Bachelors,5.0,"Python, SQL, Tableau",91520.0,Business Analyst
Futran Tech Solutions Pvt. Ltd.,NY,ZipRecruiter,Full-time,Any Degree,2,,100000.0,Data Analyst
MJHS,NY,ZipRecruiter,Full-time,Any Degree,5.0,,100000.0,Data Analyst
Kepler Group,NY,ZipRecruiter,Full-time,Any Degree,7,"Tableau, Analytics",161000.0,Data Analyst
LoneTree,NY,ZipRecruiter,Full-time,Bachelors,5.0,SQL,100000.0,Data Analyst
Public Company Accounting Oversight Board,NY,ZipRecruiter,Full-time,Any Degree,5.0,"Python, SQL",76960.0,Data Analyst
Kepler Group,NY,ZipRecruiter,Full-time,Any Degree,5.0,,116900.0,Data Analyst
Texas Workforce Commission,TX,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Oracle, Analytics",85476.0,Data Analyst
Texas Workforce Commission,TX,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Oracle, Analytics",85476.0,Data Analyst
SynergisticIT,TX,LinkedIn,Full-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Analyst
Syntricate Technologies,TX,LinkedIn,Part-time,Masters,5,"SQL, Data Analytics, Analytics, data warehouse, Excel",100000.0,Data Analyst
Health & Human Services Comm,TX,Indeed,Full-time,Any Degree,5.0,Excel,4454.0,Data Analyst
University of North Texas System,TX,Company Website,Full-time,PHD,5.0,,99840.0,Data Analyst
Syntricate Technologies,TX,LinkedIn,Part-time,Masters,5,"SQL, Data Analytics, Analytics, data warehouse, Excel",100000.0,Data Analyst
Meta,TX,LinkedIn,Full-time,Bachelors,4,"Python, SQL, ETL",125000.0,Data Analyst
Varsity Brands,TX,Company Website,Full-time,Bachelors,3,"Tableau, Data Analytics, Analytics, Power BI",10400.0,Data Analyst
GM Financial,TX,Company Website,Full-time,Any Degree,5,"Python, SQL, Cloud, Data Analytics, Analytics, Data Visualization, Visualization",208000.0,Data Analyst
American National,TX,Company Website,Full-time,Bachelors,5.0,"Excel, Data Visualization, Visualization",100000.0,Data Analyst
Sysco,TX,Company Website,Full-time,Bachelors,4,"SQL, Tableau, Visualization",100000.0,Data Analyst
Texas Water Development Board (TWDB),TX,Company Website,Full-time,Bachelors,5.0,"SQL, Snowflake, Analytics, Excel",90840.0,Data Analyst
Robert Half,TX,LinkedIn,Part-time,Any Degree,5.0,"Data Analytics, Analytics",100000.0,Data Analyst
City of Kyle,TX,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Java, Data Analytics, Analytics, ETL, Business Intelligence, data warehouse, Power BI, Excel, Data Visualization, Visualization",100000.0,Data Analyst
iSay,TX,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
Collabera,TX,ZipRecruiter,Part-time,Any Degree,5.0,"SQL, Power BI",100000.0,Data Analyst
Houston Methodist,TX,Glassdoor,Full-time,Bachelors,5.0,,100000.0,Data Analyst
Sai Business Solutions,TX,Indeed,Full-time,Any Degree,5.0,,91520.0,Business Analyst
ISN,TX,LinkedIn,Full-time,Masters,1,"Python, Azure",208000.0,Data Analyst
Lockheed Martin,TX,LinkedIn,Full-time,Any Degree,5,,178000.0,Data Analyst
Integrity Marketing Group,TX,Glassdoor,Full-time,Bachelors,3,"SQL, Snowflake, Azure, Analytics, ETL, Power BI, Excel",100000.0,Data Analyst
Jackson Hewitt,TX,Company Website,Full-time,Any Degree,5.0,"SQL, Excel",10400.0,Data Analyst
wipros,TX,Company Website,Part-time,Any Degree,5.0,,100000.0,Data Analyst
SynergisticIT,TX,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Analyst
Apollose,TX,Company Website,Part-time,Any Degree,3,"Python, SQL, Data Analytics, Analytics, data warehouse, Visualization",100000.0,Data Analyst
Intuit,TX,Company Website,Full-time,Any Degree,5.0,Analytics,100000.0,Data Analyst
TIAA,TX,Company Website,Full-time,Bachelors,3,"Snowflake, Redshift, AWS, Cloud, Data Analytics, Analytics, Business Intelligence, Data Visualization, Visualization",125000.0,Data Analyst
Sevita,TX,Company Website,Full-time,Bachelors,7,,2080.0,Data Analyst
American First Finance,TX,Company Website,Full-time,Masters,5.0,"Analytics, Power BI, Data Visualization, Visualization",2080.0,Data Analyst
Canteen,TX,Company Website,Full-time,Any Degree,2,Analytics,100000.0,Data Analyst
Care.com,TX,LinkedIn,Full-time,Any Degree,3,"Python, Hive, SQL, Tableau, Big Data, Analytics, Business Intelligence",150000.0,Data Analyst
JPMorgan Chase & Co.,TX,Company Website,Full-time,Any Degree,5,"Python, SQL, Java, Analytics",100000.0,Data Analyst
Texas State Government,TX,ZipRecruiter,Full-time,Bachelors,5.0,Excel,100000.0,Data Analyst
Survey Junkie,TX,Company Website,Part-time,Any Degree,18,,270400.0,Data Analyst
VirtualVocations,TX,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Excel, Data Visualization, Visualization",100000.0,Data Analyst
University of North Texas System,TX,Company Website,Full-time,Bachelors,5.0,,14560.0,Business Analyst
A-MAX Auto Insurance,TX,LinkedIn,Full-time,Any Degree,5,"Python, Tableau, AWS, ETL, Excel",91520.0,Business Analyst
wipros,TX,Company Website,Part-time,Any Degree,3,"SQL, Tableau, Data Visualization, Visualization",100000.0,Data Analyst
